Consecutivo de pregunta;Pregunta;Variable homologada;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1999;1998;;;
1;NUMERO;P1;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;NUMERO;n;;n;;;
2;SECTOR;P2;SECTOR;;;;;;;;;;;;;;;;
3;SECCION;P3;SECCION;;;;;;;;;;;;;;;;
4;MANZANA;P4;MANZANA;;;;;;;;;;;;;;;;
5;H_INICIO;P5;H_INICIO;;;;;;;;;;;;;;;;
6;H_FINAL;P6;H_FINAL;;;;;;;;;;;;;;;;
7;DIA;P7;DIA;;;;DIA;;;;;;;;;;;;
8;MES;P8;MES;;;;MES;;;;;;;;;;;;
9;ANO;P9;ANO;;;;ANO;;;;;;;;;;;;
10;NSE;P10;NSE;NSE;NSE;NSE;NSE;NSE;NSE;NSE;NSE;NSE;NSE;NSE;NSE;v2;;;
11;NVNSE;P11;;;;NVNSE;NVNSE;NVNSE;;NVNSE;NVNSE;;;;;;;;
12;EDAD;P12;EDAD;EDAD;EDAD;EDAD;EDAD;EDAD;EDAD;EDAD;EDAD;EDAD;EDAD;v3;EDAD;v3;;;
13;SEXO;P13;SEXO;SEXO;SEXO;SEXO;SEXO;SEXO;GENERO;SEXO;SEXO;SEXO;SEXO;v4;genero;v4;;;
14;TIPO_ENTREVISTADO;P14;TIPO_ENTREVISTADO;;;TIPO;TIPO_ENT;;;;;;;;;;;;
15;EMERGENCIA;P15;;;;;;;;;EMERGENCIA;;;;;;;;
16;ZONAS;P16;ZONAS;ZONAS;ZONAS;ZONA;ZONA;ZONA;ZONA;ZONA;ZONA;ZONA;ZONA;v5;ZONA;v5;;;
17;LOCALIDAD;P17;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;LOCALIDAD;v6;LOCALIDA;v6;;;
18;¿Usted vive en? ;P18;;;;;;;;NF11;;;;;;;;;
19;¿Cuál de las siguientes opciones describe mejor su Posición dentro del hogar? ;P19;;;;;;;;NF7;;;;;;;;;
20;¿Podría por favor hablar con el jefe del hogar hombre?;P20;F1;;F1;F1;;;;;;;;;;;;;
21;¿Podría responderme esta encuesta?;P21;F2;;F2;F2;;;;;NF11;;;;;;;;
22;Usted, o algún miembro de su familia que viva en su hogar, trabaja actualmente o ha trabajado en los últimos seis meses en __________ (ENC: LEA) ;P22;F3;;F3;FA;;;;;PD;;;;;;;;
23;¿Usted vive de forma permanente en Bogotá, o se encuentra en la ciudad por turismo o negocios? RU;P23;F6;;F6;FB;;;;;;;;v7;v7;;;;
24;¿Hace cuánto tiempo vive en Bogotá?;P24;F6A_ANOS;;F6_1_1;FB_ANOS;;;;;;;;;;;;;
25;¿Hace cuánto tiempo vive en Bogotá?;P25;F6A_MESES;;F6_1_2;FB_MESES;;;;;;;;;;;;;
26;¿Podría por favor decirme cuántos hogares hay en esta vivienda?;P26;F7;;F7;FC;;;;;;;;;;;;;
27;Ahora quisiera saber si en su opinión, las cosas en Bogotá en general, ¿van por buen camino o por mal camino? ;P27;AG1;AG1;AG1;P1;P1;P1;P1;P1;P1;P1;P1;;;;;;
28;¿qué tan orgulloso(a) se siente de Bogotá ahora;P28;AG2;AG2;AG2;P2;P2;P2;P2;P2;P2;P2;P2;;;;;;
29;¿Usted se siente bogotano(a), o de otra parte del país?;P29;;;;;P3;P3;P3;P3;P3;P3;P3;;;;;;
30;¿Ud. nació en Bogotá, o en otra ciudad?;P30;;;;;;P4;P4;P4;P4;P4;P4;;;;;;
31;¿En qué ciudad nació usted?;P31;;;;;;P4_CIUDAD;P4A_CIUDAD;P4A_CIU;P4A_CIUDAD;;P4A;;;;;;
32;¿Y hace cuantos años vive en Bogotá?;P32;;;;;;;;;;;P5;;;;;;
33;¿En qué departamento?  ;P33;;;;;;P4_DPT;P4A_DPTO;P4A_DPT;P4A_DPTO;;;;;;;;
34;Usted se clasifica a si mismo como;P34;;;;;;;;P4B;;;;;;;;;
35;observación;P35;;;;;;;;P4B_OBS;;;;;;;;;
36;¿Cree usted que su calidad de vida ha mejorado, ha empeorado, o sigue igual con respecto a la del 2006? ;P36;;;;;;P4A;P4A;;;;;;;;;;
37;Y durante el próximo año, ¿Usted cree que lascosas en Bogotá van a mejorar o van a empeorar?;P37;;AG3;;;;;;;;;;;;;;;
38;¿En qué peldaño de la escala se siente usted en estos momentos? ;P38;CV0;CV0;CV0;;;;;;;;;;;;;;
39;¿Qué tan satisfecho(a) se siente Usted con Bogotá como una ciudad para vivir;P39;CV1;CV1;CV1;P4;P4;;;;;;;;;;;;
40;¿cuáles de estas cosas son las que más deben mejorar en la ciudad?;P40;;;CV3;;;;;;;;;;;;;;
41;¿qué tan seguro en general se siente Usted en Bogotá?;P41;CV4;CV4;CV4;P5;P5;;;;;;;;;;;;
42;¿qué tan satisfecho(a) se siente Usted con la forma como la alcaldía invierte los recursos y dineros de Bogotá;P42;CV5;CV5;CV5;P6;P6;;;;;;;;;;;;
43;Por favor descríbame a Bogotá en una sola palabra;P43;;CV6;;;;;;;;;;;;;;;
44;¿Cómo se imagina usted a Bogotá en 10 años? ;P44;;;;;P7;;;;;;;;;;;;
45;Durante el último año, la situación económica de su hogar ;P45;CO2;CO2;CO2;P8;P8;P5;P5;P5;P5;P5;P6;;;;;;
46;¿Cuál es la razón para considerar que la situación económica de su hogar ha empeorado en el último año? ;P46;CO3;C03;CO3;P9;P9;P6;P6;P6;P6;P6;P7;;;;;;
47;¿Podría decirme si usted se considera pobre? ;P47;CO4;CO4;CO4;P10;P10;P6A;P6A;P6A;P6A;;;;;;;;
48;¿Por qué _____ (SI) ;P48;CO4A_SI;CO4A_SI;CO4A_SI;P11A;P11A;P6A1;P6A1_1;P6A1_1;;;;;;;;;
49;¿Por qué _____ (SI) ;P49;CO4A_NO;CO4A_NO;CO4A_NO;P11B;P11B;P6A2;;;;;;;;;;;
50;a)   En mi hogar nos preocupa que se termine la comida y no tengamos dinero para comprar más;P50;;;;;;;;;P6BA;;;;;;;;
